datum;nummer1;nummer2;nummer3;nummer4;nummer5;zz1;zz2;spielEinsatz;anzahlKlasse1;quoteKlasse1;anzahlKlasse2;quoteKlasse2;anzahlKlasse3;quoteKlasse3;anzahlKlasse4;quoteKlasse4;anzahlKlasse5;quoteKlasse5;anzahlKlasse6;quoteKlasse6;anzahlKlasse7;quoteKlasse7;anzahlKlasse8;quoteKlasse8;anzahlKlasse9;quoteKlasse9;anzahlKlasse10;quoteKlasse10;anzahlKlasse11;quoteKlasse11;anzahlKlasse12;quoteKlasse12;tag
23.03.2012;5;8;21;37;46;6;8;13.155.414,00 €;0;0,00 €;0;0,00 €;2;42.755,00 €;12;6.577,70 €;245;255,00 €;302;130,60 €;763;73,20 €;11.848;22,70 €;11.675;19,40 €;15.319;15,40 €;64.513;12,20 €;178.977;8,40 €;Fr
30.03.2012;5;7;12;19;26;1;5;11.727.162,00 €;0;0,00 €;9;69.118,20 €;3;25.408,80 €;46;1.529,60 €;667;83,50 €;903;38,90 €;1.514;32,90 €;19.123;12,50 €;16.957;11,90 €;26.050;9,10 €;74.366;9,10 €;198.640;6,70 €;Fr
06.04.2012;7;8;34;36;38;4;5;12.505.570,00 €;0;0,00 €;1;312.639,20 €;1;81.286,20 €;12;6.252,70 €;185;321,00 €;248;151,20 €;852;62,30 €;10.782;23,70 €;14.301;15,80 €;13.437;15,80 €;77.156;9,70 €;181.709;7,80 €;Fr
13.04.2012;5;11;12;27;32;1;3;13.027.098,00 €;0;0,00 €;0;0,00 €;0;0,00 €;28;2.791,50 €;387;159,80 €;497;78,60 €;1.169;47,30 €;17.373;15,30 €;15.794;14,20 €;21.700;10,80 €;73.909;10,50 €;230.152;6,40 €;Fr
20.04.2012;10;16;30;41;45;2;8;12.608.568,00 €;0;0,00 €;1;640.891,60 €;1;166.631,80 €;23;3.289,10 €;221;270,90 €;272;139,00 €;935;57,30 €;10.163;25,40 €;14.154;16,70 €;12.395;16,70 €;79.453;9,50 €;155.150;9,30 €;Fr
27.04.2012;10;13;19;40;45;3;5;12.128.078,00 €;0;0,00 €;1;303.201,90 €;0;0,00 €;11;6.615,30 €;277;207,90 €;312;116,60 €;1.022;50,40 €;11.445;21,70 €;16.412;14,40 €;13.276;14,40 €;90.274;8,00 €;178.350;7,80 €;Fr
04.05.2012;29;30;35;41;45;3;5;12.061.678,00 €;0;0,00 €;0;0,00 €;1;157.233,40 €;12;6.030,80 €;141;406,30 €;179;202,10 €;776;66,00 €;8.492;29,10 €;13.307;17,80 €;10.478;17,80 €;83.258;9,40 €;139.493;9,40 €;Fr
11.05.2012;15;21;38;39;47;1;5;12.640.608,00 €;1;19.536.868,80 €;1;617.557,10 €;1;82.163,90 €;23;3.297,50 €;226;265,60 €;304;124,70 €;829;64,80 €;9.939;26,00 €;12.640;17,20 €;13.951;16,30 €;72.228;10,50 €;152.140;9,50 €;Fr
18.05.2012;12;18;43;44;46;4;5;11.141.190,00 €;0;0,00 €;1;278.529,70 €;1;72.417,70 €;16;4.177,90 €;182;290,70 €;241;138,60 €;729;64,90 €;9.556;23,90 €;12.424;16,10 €;11.857;16,10 €;68.999;9,60 €;154.735;8,20 €;Fr
25.05.2012;4;11;26;32;41;5;7;10.681.774,00 €;0;0,00 €;2;133.522,10 €;0;0,00 €;17;3.770,00 €;214;237,00 €;275;116,50 €;782;58,00 €;10.260;21,30 €;11.965;15,50 €;12.257;15,50 €;66.096;9,60 €;155.436;7,80 €;Fr
01.06.2012;11;28;34;37;38;3;7;10.897.248,00 €;0;0,00 €;0;0,00 €;1;140.263,60 €;19;3.441,20 €;193;268,10 €;228;143,30 €;1.207;38,30 €;10.525;21,20 €;19.582;12,00 €;12.174;12,00 €;108.691;7,10 €;158.809;7,10 €;Fr
08.06.2012;10;15;16;36;44;7;8;11.088.516,00 €;0;0,00 €;1;549.644,10 €;0;0,00 €;12;5.544,20 €;209;252,00 €;238;139,70 €;683;68,90 €;10.533;21,50 €;9.364;20,40 €;12.650;15,70 €;51.805;12,80 €;157.297;8,00 €;Fr
15.06.2012;6;10;17;18;42;1;3;11.132.242,00 €;0;0,00 €;1;278.306,00 €;0;0,00 €;11;6.072,10 €;225;235,00 €;254;131,40 €;798;59,20 €;11.006;20,70 €;11.515;16,60 €;14.109;14,20 €;61.505;10,80 €;165.695;7,70 €;Fr
22.06.2012;13;14;16;47;49;1;7;11.181.140,00 €;0;0,00 €;1;279.528,50 €;0;0,00 €;16;4.192,90 €;172;308,70 €;196;171,10 €;715;66,40 €;8.738;26,20 €;11.904;17,10 €;11.013;17,10 €;65.554;10,20 €;151.173;8,40 €;Fr
29.06.2012;5;8;19;33;36;2;3;11.447.588,00 €;0;0,00 €;2;192.570,40 €;1;192.570,40 €;17;4.040,30 €;325;167,30 €;400;85,80 €;858;56,70 €;15.663;16,00 €;11.194;16,00 €;16.633;12,30 €;56.672;12,10 €;208.310;6,30 €;Fr
06.07.2012;10;22;24;33;38;2;6;12.008.478,00 €;0;0,00 €;1;300.211,90 €;0;0,00 €;19;3.792,10 €;294;194,00 €;339;106,20 €;1.304;39,10 €;12.744;19,30 €;17.906;12,10 €;16.977;12,10 €;88.571;8,10 €;179.688;7,60 €;Fr
13.07.2012;8;12;27;31;37;3;6;13.483.642,00 €;0;0,00 €;3;125.697,40 €;1;125.697,40 €;22;3.677,30 €;283;226,30 €;383;105,60 €;1.465;39,10 €;13.885;19,90 €;21.995;12,00 €;17.523;12,00 €;110.281;7,40 €;204.268;7,40 €;Fr
20.07.2012;6;9;13;14;25;1;8;12.944.940,00 €;0;0,00 €;3;107.874,50 €;2;42.071,00 €;32;2.427,10 €;310;198,30 €;478;81,20 €;1.257;43,70 €;13.694;19,30 €;17.149;13,00 €;20.932;11,10 €;84.580;9,10 €;188.722;7,80 €;Fr
27.07.2012;9;22;23;34;35;1;3;13.120.050,00 €;0;0,00 €;2;164.000,60 €;2;42.640,10 €;25;3.148,80 €;311;200,30 €;371;106,00 €;909;61,30 €;14.007;19,20 €;13.929;16,20 €;17.622;13,40 €;73.509;10,70 €;204.343;7,30 €;Fr
03.08.2012;12;15;18;24;25;4;5;14.542.212,00 €;0;0,00 €;3;121.185,10 €;3;31.508,10 €;44;1.983,00 €;463;149,10 €;521;83,70 €;1.544;40,00 €;18.375;16,20 €;21.163;11,90 €;21.851;11,90 €;99.633;8,70 €;241.237;6,90 €;Fr
10.08.2012;6;11;40;46;48;3;6;21.983.676,00 €;0;0,00 €;1;27.545.857,50 €;1;142.893,80 €;32;4.121,90 €;324;322,20 €;417;158,10 €;1.804;51,70 €;16.917;26,60 €;29.266;15,30 €;21.101;15,30 €;168.765;8,70 €;270.833;8,70 €;Fr
17.08.2012;3;16;30;34;35;2;5;11.979.506,00 €;0;0,00 €;1;299.487,60 €;1;77.866,70 €;28;2.567,00 €;204;278,90 €;239;150,30 €;1.035;49,10 €;10.605;23,10 €;15.691;14,80 €;12.730;14,80 €;88.643;8,30 €;161.747;8,30 €;Fr
24.08.2012;9;20;21;33;49;5;7;11.502.104,00 €;1;11.265.231,40 €;3;95.850,80 €;2;37.381,80 €;36;1.917,00 €;301;181,50 €;348;99,10 €;978;49,90 €;11.962;19,70 €;14.131;14,70 €;13.289;14,70 €;74.170;9,30 €;169.988;7,70 €;Fr
31.08.2012;8;22;28;40;42;4;8;11.568.548,00 €;0;0,00 €;1;289.213,70 €;1;75.195,50 €;23;3.017,80 €;310;177,20 €;359;96,60 €;1.112;44,20 €;11.511;20,60 €;15.486;13,50 €;14.609;13,50 €;76.299;9,00 €;157.967;8,40 €;Fr
07.09.2012;15;23;25;46;49;2;4;11.642.882,00 €;0;0,00 €;0;0,00 €;2;37.839,30 €;13;5.373,60 €;224;246,80 €;220;158,70 €;754;65,60 €;10.124;23,50 €;12.582;16,20 €;12.707;16,20 €;67.352;10,30 €;159.340;8,30 €;Fr
14.09.2012;10;14;15;24;47;4;8;11.707.412,00 €;0;0,00 €;0;0,00 €;2;38.049,00 €;16;4.390,20 €;186;298,90 €;262;134,00 €;858;57,90 €;10.266;23,30 €;13.956;14,90 €;13.723;14,90 €;75.536;9,20 €;158.272;8,40 €;Fr
21.09.2012;18;29;41;44;49;1;5;12.088.106,00 €;0;0,00 €;1;885.960,00 €;0;0,00 €;19;3.817,20 €;197;291,40 €;261;138,90 €;810;63,40 €;10.014;24,70 €;12.625;16,50 €;13.236;16,40 €;71.735;10,10 €;149.762;9,20 €;Fr
28.09.2012;5;14;16;34;39;1;6;12.677.730,00 €;0;0,00 €;1;316.943,20 €;0;0,00 €;13;5.851,20 €;240;250,90 €;305;124,60 €;786;68,50 €;11.277;23,10 €;12.017;18,10 €;16.277;14,00 €;64.857;11,70 €;165.932;8,70 €;Fr
05.10.2012;26;28;40;49;50;2;7;12.893.822,00 €;0;0,00 €;0;0,00 €;0;0,00 €;26;2.975,40 €;218;280,90 €;240;161,10 €;1.063;51,50 €;10.117;26,10 €;17.832;14,90 €;12.510;14,90 €;103.880;8,30 €;166.075;8,30 €;Fr
12.10.2012;6;11;17;43;49;4;8;13.597.774,00 €;0;0,00 €;2;331.821,00 €;1;331.821,00 €;17;4.799,20 €;237;272,50 €;355;114,90 €;1.048;55,10 €;12.053;23,10 €;16.503;14,20 €;17.306;14,10 €;89.990;9,00 €;186.759;8,30 €;Fr
19.10.2012;6;14;18;19;48;3;8;13.938.986,00 €;0;0,00 €;0;0,00 €;0;0,00 €;23;3.636,20 €;271;244,30 €;331;126,30 €;1.115;53,10 €;13.694;20,80 €;16.891;14,60 €;16.664;14,60 €;88.813;9,40 €;209.995;7,60 €;Fr
26.10.2012;7;17;18;19;22;4;5;14.364.334,00 €;1;21.320.215,00 €;0;0,00 €;4;45.992,80 €;37;2.329,30 €;375;181,90 €;475;90,70 €;1.435;42,50 €;16.993;17,30 €;19.783;12,50 €;21.684;11,90 €;98.609;8,70 €;238.176;6,90 €;Fr
02.11.2012;3;5;7;12;31;5;7;12.114.622,00 €;0;0,00 €;4;252.612,10 €;3;26.248,30 €;83;875,70 €;574;100,20 €;620;58,60 €;2.365;21,70 €;19.793;12,50 €;20.298;10,50 €;20.114;10,50 €;81.565;8,90 €;222.390;6,20 €;Fr
